Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status
INN00553,2,0,1,2,Meal Plan 1,0,Room_Type 1,78,Online,0,0,0,100,0,3/25/2018,Canceled
INN00554,1,0,0,1,Meal Plan 1,0,Room_Type 4,8,Complementary,0,0,0,0,2,4/23/2018,Not_Canceled
INN00555,1,2,4,9,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,186.22,0,11/2/2018,Canceled
INN00556,2,0,2,0,Not Selected,0,Room_Type 1,117,Online,0,0,0,79.2,0,11/13/2018,Not_Canceled
INN00557,2,0,1,1,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,103,0,3/19/2018,Not_Canceled
INN00558,2,0,2,2,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,185,0,9/25/2017,Not_Canceled
INN00559,2,0,0,2,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,135,1,10/20/2017,Not_Canceled
INN00560,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,Online,0,0,0,115,1,10/23/2018,Canceled
INN00561,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,Online,0,0,0,109,0,7/17/2017,Canceled
INN00562,2,0,0,1,Meal Plan 1,0,Room_Type 1,33,Online,0,0,0,104,1,11/26/2018,Canceled
INN00563,3,0,2,5,Meal Plan 1,0,Room_Type 4,184,Online,0,0,0,130.05,3,8/3/2018,Not_Canceled
INN00564,2,0,1,3,Meal Plan 1,0,Room_Type 1,232,Online,0,0,0,100.3,0,9/5/2018,Canceled
INN00565,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130,0,6/15/2018,Canceled
INN00566,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,0,0,0,109,0,10/16/2017,Not_Canceled
INN00567,2,0,2,2,Meal Plan 1,0,Room_Type 4,45,Online,0,0,0,139.5,1,10/7/2018,Canceled
INN00568,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Corporate,0,0,0,66,1,2/3/2018,Not_Canceled
INN00569,2,0,2,2,Meal Plan 1,0,Room_Type 1,63,Online,0,0,0,106.88,2,9/3/2018,Not_Canceled
INN00570,2,0,2,2,Meal Plan 1,0,Room_Type 4,89,Online,0,0,0,149.4,1,9/16/2018,Not_Canceled
INN00571,1,0,0,2,Meal Plan 1,0,Room_Type 1,63,Online,0,0,0,109.35,2,4/26/2018,Not_Canceled
INN00572,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Online,0,0,0,89,0,11/3/2018,Canceled
INN00573,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,115,1,4/9/2018,Not_Canceled
INN00574,1,0,0,1,Meal Plan 1,0,Room_Type 1,51,Corporate,0,0,0,85.5,0,3/16/2018,Not_Canceled
INN00575,2,0,0,2,Meal Plan 1,0,Room_Type 4,110,Online,0,0,0,90.95,0,4/20/2018,Not_Canceled
INN00576,2,0,2,1,Meal Plan 1,0,Room_Type 4,20,Online,0,0,0,117.55,1,7/30/2018,Not_Canceled
INN00577,2,0,0,1,Not Selected,0,Room_Type 1,50,Online,0,0,0,108,1,10/19/2018,Canceled
INN00578,2,0,0,3,Meal Plan 1,0,Room_Type 4,48,Online,0,0,0,139.5,1,10/11/2018,Not_Canceled
INN00579,2,0,0,3,Meal Plan 1,0,Room_Type 5,96,Online,0,0,0,129.88,0,9/13/2018,Canceled
INN00580,2,0,1,4,Meal Plan 1,0,Room_Type 1,148,Offline,0,0,0,67,0,12/30/2017,Not_Canceled
INN00581,2,0,1,1,Not Selected,0,Room_Type 1,25,Online,0,0,0,129,1,10/3/2018,Canceled
INN00582,2,0,2,5,Meal Plan 1,0,Room_Type 1,148,Online,0,0,0,79.53,0,6/25/2018,Canceled
INN00583,2,0,1,3,Meal Plan 1,0,Room_Type 1,114,Offline,0,0,0,72.25,0,8/22/2018,Not_Canceled
INN00584,1,0,0,2,Meal Plan 2,0,Room_Type 1,257,Offline,0,0,0,80,0,7/1/2017,Not_Canceled
INN00585,2,0,2,5,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,119.85,2,6/11/2018,Not_Canceled
INN00586,1,0,1,2,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,117,0,11/2/2017,Not_Canceled
INN00587,2,0,2,2,Meal Plan 2,0,Room_Type 4,67,Complementary,0,0,0,29,1,9/6/2017,Not_Canceled
INN00588,2,0,2,2,Meal Plan 1,1,Room_Type 1,61,Online,0,0,0,118.8,1,9/2/2018,Not_Canceled
INN00589,2,0,0,2,Meal Plan 1,0,Room_Type 1,79,Offline,0,0,0,192.03,1,12/30/2018,Not_Canceled
INN00590,3,0,0,1,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,168.3,2,5/21/2018,Not_Canceled
INN00591,2,0,0,1,Not Selected,0,Room_Type 1,120,Online,0,0,0,72.76,0,5/12/2018,Not_Canceled
INN00592,2,0,0,3,Meal Plan 1,0,Room_Type 1,157,Offline,0,0,0,68,0,12/8/2018,Not_Canceled
INN00593,2,0,0,4,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,89,0,1/6/2018,Not_Canceled
INN00594,2,0,2,5,Meal Plan 1,0,Room_Type 4,46,Online,0,0,0,124.46,0,8/28/2018,Not_Canceled
INN00595,1,0,2,1,Meal Plan 1,0,Room_Type 1,41,Corporate,0,0,0,70.33,0,3/13/2018,Not_Canceled
INN00596,3,0,1,4,Meal Plan 1,0,Room_Type 4,84,Online,0,0,0,170.1,2,6/15/2018,Not_Canceled
INN00597,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,75,0,6/17/2018,Canceled
INN00598,2,0,0,3,Meal Plan 1,0,Room_Type 4,27,Online,0,0,0,125.25,1,6/29/2018,Not_Canceled
INN00599,2,0,3,7,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,55.9,0,7/27/2017,Not_Canceled
INN00600,2,0,1,2,Meal Plan 1,0,Room_Type 1,85,Online,0,0,0,126.9,0,6/20/2018,Canceled
INN00601,2,0,0,2,Not Selected,0,Room_Type 1,6,Online,0,0,0,79,0,2/26/2018,Canceled
INN00602,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,Online,0,0,0,94.35,2,10/23/2018,Canceled
INN00603,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,Online,0,0,0,109,0,6/24/2018,Canceled
INN00604,2,0,2,3,Meal Plan 1,0,Room_Type 4,64,Online,0,0,0,112.2,0,4/15/2018,Not_Canceled
INN00605,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,109,1,10/1/2017,Not_Canceled
INN00606,1,0,0,2,Meal Plan 1,0,Room_Type 1,91,Corporate,1,1,2,65,0,9/14/2018,Not_Canceled
INN00607,2,0,1,3,Meal Plan 1,0,Room_Type 1,127,Offline,0,0,0,90,0,4/28/2018,Not_Canceled
INN00608,2,0,0,3,Meal Plan 1,0,Room_Type 1,73,Offline,0,0,0,85,0,7/14/2018,Not_Canceled
INN00609,2,0,0,4,Meal Plan 1,0,Room_Type 1,36,Online,0,0,0,168.73,0,12/28/2018,Not_Canceled
INN00610,2,0,1,3,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,100.38,0,12/8/2018,Not_Canceled
INN00611,2,0,2,5,Meal Plan 1,0,Room_Type 1,164,Online,0,0,0,99.45,0,7/27/2018,Canceled
INN00612,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,160,0,9/27/2018,Not_Canceled
INN00613,2,0,2,1,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,126,1,10/2/2018,Not_Canceled
INN00614,3,0,1,2,Meal Plan 1,0,Room_Type 1,191,Offline,0,0,0,96.9,0,8/1/2018,Not_Canceled
INN00615,2,2,2,4,Meal Plan 1,0,Room_Type 2,33,Online,0,0,0,95,2,10/17/2017,Not_Canceled
INN00616,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,94.5,3,9/5/2017,Not_Canceled
INN00617,1,0,1,1,Meal Plan 1,0,Room_Type 1,3,Offline,0,0,0,98.8,0,9/7/2017,Not_Canceled
INN00618,2,0,2,1,Not Selected,0,Room_Type 1,53,Online,0,0,0,100.5,1,7/10/2018,Not_Canceled
INN00619,2,0,1,0,Meal Plan 2,0,Room_Type 7,8,Complementary,1,0,1,0,1,6/19/2018,Not_Canceled
INN00620,2,0,2,1,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,80.75,1,5/29/2018,Canceled
INN00621,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104,0,4/6/2018,Not_Canceled
INN00622,2,0,1,2,Meal Plan 1,0,Room_Type 1,84,Offline,0,0,0,89.75,0,4/29/2018,Not_Canceled
INN00623,2,2,0,2,Meal Plan 1,0,Room_Type 6,0,Online,0,0,0,156,1,8/25/2017,Not_Canceled
INN00624,2,0,1,1,Meal Plan 1,0,Room_Type 4,1,Online,0,0,0,136,2,6/11/2018,Not_Canceled
INN00625,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,Corporate,0,0,0,85,1,12/2/2018,Not_Canceled
INN00626,2,0,0,4,Meal Plan 1,0,Room_Type 4,41,Online,0,0,0,87.54,1,10/14/2017,Not_Canceled
INN00627,2,0,0,2,Meal Plan 1,0,Room_Type 1,86,Corporate,0,0,0,100,0,9/9/2017,Not_Canceled
INN00628,2,0,2,2,Meal Plan 1,0,Room_Type 1,167,Online,0,0,0,108.9,1,10/1/2018,Canceled
INN00629,2,0,0,3,Not Selected,0,Room_Type 1,34,Online,0,0,0,107.1,1,6/14/2018,Not_Canceled
INN00630,2,0,1,2,Meal Plan 1,0,Room_Type 1,101,Online,0,0,0,80,0,4/4/2018,Canceled
INN00631,2,0,0,3,Meal Plan 1,0,Room_Type 1,259,Online,0,0,0,90,0,5/5/2018,Canceled
INN00632,2,0,0,2,Meal Plan 1,0,Room_Type 1,122,Online,0,0,0,105.3,1,5/12/2018,Not_Canceled
INN00633,2,0,0,1,Not Selected,0,Room_Type 1,1,Online,0,0,0,80,2,2/11/2018,Not_Canceled
INN00634,2,0,0,2,Meal Plan 1,1,Room_Type 4,107,Online,0,0,0,142.2,0,8/25/2018,Not_Canceled
INN00635,2,0,0,3,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,131.4,1,4/5/2018,Not_Canceled
INN00636,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95,0,6/24/2018,Not_Canceled
INN00637,2,0,0,2,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,111,0,4/1/2018,Canceled
INN00638,2,0,1,3,Meal Plan 1,0,Room_Type 1,85,Offline,0,0,0,85,1,10/6/2018,Not_Canceled
INN00639,3,0,0,4,Meal Plan 1,0,Room_Type 4,137,Online,0,0,0,130.95,0,8/24/2018,Canceled
INN00640,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,0,0,0,101.5,0,9/18/2017,Not_Canceled
INN00641,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,Offline,0,0,0,82,0,2/28/2018,Not_Canceled
INN00642,2,0,2,2,Meal Plan 1,1,Room_Type 1,34,Online,0,0,0,94.5,2,9/13/2017,Not_Canceled
INN00643,2,0,2,1,Meal Plan 1,0,Room_Type 1,56,Online,0,0,0,109.8,0,8/28/2018,Canceled
INN00644,2,0,2,4,Meal Plan 1,0,Room_Type 1,149,Online,0,0,0,72.25,0,7/10/2018,Canceled
INN00645,2,0,2,2,Not Selected,0,Room_Type 1,12,Online,0,0,0,55.72,0,2/6/2018,Not_Canceled
INN00646,3,0,1,1,Meal Plan 1,0,Room_Type 4,52,Online,0,0,0,158.4,1,10/17/2018,Canceled
INN00647,2,0,1,4,Meal Plan 1,0,Room_Type 4,191,Offline,0,0,0,69,0,3/30/2018,Not_Canceled
INN00648,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105,0,10/13/2018,Not_Canceled
INN00649,2,0,0,3,Meal Plan 1,0,Room_Type 4,57,Online,0,0,0,219.6,0,12/29/2018,Canceled
INN00650,1,0,2,3,Meal Plan 1,0,Room_Type 1,9,Offline,0,0,0,44.8,0,1/8/2018,Not_Canceled
INN00651,2,0,0,1,Not Selected,0,Room_Type 1,7,Online,0,0,0,120,0,10/26/2018,Not_Canceled
INN00652,2,0,1,2,Meal Plan 1,0,Room_Type 1,78,Online,0,0,0,100,0,3/25/2018,Canceled
INN00653,2,0,0,1,Not Selected,0,Room_Type 1,0,Online,0,0,0,109,0,6/7/2018,Not_Canceled
INN00654,0,2,1,2,Meal Plan 1,0,Room_Type 2,78,Online,0,0,0,115.68,1,8/19/2018,Not_Canceled
INN00655,2,0,1,2,Meal Plan 1,0,Room_Type 1,31,Offline,0,0,0,75,0,9/16/2018,Not_Canceled
INN00656,2,0,0,2,Meal Plan 2,0,Room_Type 5,37,Offline,0,0,0,134.1,1,6/17/2018,Not_Canceled
INN00657,2,0,2,1,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,124.1,1,5/29/2018,Not_Canceled
INN00658,4,0,0,2,Meal Plan 1,0,Room_Type 7,32,Online,0,0,0,214.75,1,8/17/2018,Not_Canceled
INN00659,2,0,1,2,Meal Plan 1,0,Room_Type 1,48,Offline,0,0,0,75,0,10/31/2018,Not_Canceled
INN00660,2,0,1,2,Meal Plan 1,0,Room_Type 1,89,Online,0,0,0,72.25,2,11/23/2017,Not_Canceled
INN00661,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,80,0,3/7/2018,Not_Canceled
INN00662,2,0,0,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,139,1,9/20/2018,Not_Canceled
INN00663,1,0,0,1,Meal Plan 1,0,Room_Type 1,10,Corporate,0,0,0,66,0,1/28/2018,Not_Canceled
INN00664,1,0,0,3,Meal Plan 1,0,Room_Type 1,43,Online,0,0,0,115.5,0,5/31/2018,Not_Canceled
INN00665,2,1,1,1,Meal Plan 1,1,Room_Type 1,27,Online,0,0,0,195.5,2,8/8/2018,Not_Canceled
INN00666,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,Online,0,0,0,115,1,10/23/2018,Canceled
INN00667,1,0,0,1,Meal Plan 2,0,Room_Type 1,72,Offline,0,0,0,84,0,9/18/2017,Not_Canceled
INN00668,2,0,2,1,Not Selected,0,Room_Type 1,10,Online,0,0,0,107.8,3,10/16/2018,Not_Canceled
INN00669,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105,0,10/13/2018,Not_Canceled
INN00670,2,0,2,3,Meal Plan 1,0,Room_Type 1,170,Offline,0,0,0,78,0,4/8/2018,Not_Canceled
INN00671,1,0,0,2,Meal Plan 2,0,Room_Type 1,265,Offline,0,0,0,90,0,6/24/2018,Not_Canceled
INN00672,2,0,1,1,Not Selected,0,Room_Type 1,49,Online,0,0,0,105.3,0,7/9/2018,Canceled
INN00673,2,0,0,3,Meal Plan 1,0,Room_Type 1,51,Online,0,0,0,80.3,1,2/25/2018,Not_Canceled
INN00674,1,0,1,0,Meal Plan 2,0,Room_Type 1,3,Online,0,0,0,129,1,2/8/2018,Not_Canceled
INN00675,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,Online,0,0,0,115,1,6/24/2018,Canceled
INN00676,2,0,2,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,125.1,2,9/11/2018,Not_Canceled
INN00677,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,103,1,2/27/2018,Not_Canceled
INN00678,2,0,2,0,Not Selected,1,Room_Type 1,77,Online,0,0,0,125.1,0,5/1/2018,Not_Canceled
INN00679,1,0,2,5,Not Selected,0,Room_Type 1,60,Online,0,0,0,96.17,1,6/17/2018,Canceled
INN00680,2,0,2,2,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,185,0,9/25/2017,Not_Canceled
INN00681,2,0,2,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,69.74,0,6/12/2018,Not_Canceled
INN00682,2,2,2,3,Meal Plan 1,0,Room_Type 6,136,Online,0,0,0,172.55,0,7/9/2018,Canceled
INN00683,1,0,0,3,Meal Plan 1,1,Room_Type 1,4,Online,0,0,0,95,1,1/28/2018,Not_Canceled
INN00684,2,1,1,2,Meal Plan 2,0,Room_Type 1,68,Online,0,0,0,166.35,2,9/9/2018,Not_Canceled
INN00685,2,0,0,1,Not Selected,1,Room_Type 1,1,Online,0,0,0,108,1,11/18/2018,Not_Canceled
INN00686,2,0,1,3,Meal Plan 1,0,Room_Type 4,61,Online,0,0,0,102,0,3/21/2018,Not_Canceled
INN00687,2,0,1,2,Meal Plan 1,0,Room_Type 7,40,Online,0,0,0,203.73,2,5/13/2018,Not_Canceled
INN00688,2,0,2,5,Not Selected,0,Room_Type 1,6,Online,0,0,0,78.69,0,11/17/2018,Canceled
INN00689,2,0,0,3,Not Selected,0,Room_Type 1,58,Online,0,0,0,79.2,0,11/3/2018,Canceled
INN00690,1,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,76.5,1,3/16/2018,Not_Canceled
INN00691,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,100,0,6/3/2018,Canceled
INN00692,2,0,0,4,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,88.4,1,12/14/2018,Not_Canceled
INN00693,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,110,0,7/6/2018,Canceled
INN00694,2,0,1,2,Meal Plan 1,0,Room_Type 4,189,Online,0,0,0,109.8,0,10/28/2018,Canceled
INN00695,2,0,2,1,Meal Plan 1,0,Room_Type 1,271,Offline,0,0,0,78.3,0,12/3/2018,Not_Canceled
INN00696,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,Online,0,0,0,101.5,0,7/1/2017,Canceled
INN00697,2,0,2,4,Not Selected,0,Room_Type 1,207,Online,0,0,0,80.75,1,7/28/2018,Not_Canceled
INN00698,2,0,2,2,Meal Plan 1,0,Room_Type 1,108,Online,0,0,0,104,2,12/25/2018,Not_Canceled
INN00699,2,0,0,3,Not Selected,0,Room_Type 1,39,Online,0,0,0,51.19,0,3/15/2018,Not_Canceled
INN00700,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150,1,11/5/2018,Canceled
INN00701,2,0,1,2,Meal Plan 1,0,Room_Type 4,177,Online,0,0,0,127.8,1,8/12/2018,Canceled
INN00702,2,0,0,1,Not Selected,0,Room_Type 4,15,Online,0,0,0,115,3,9/17/2017,Not_Canceled
INN00703,2,0,0,1,Meal Plan 1,0,Room_Type 4,10,Online,0,0,0,156,1,5/5/2018,Not_Canceled
INN00704,3,0,2,2,Meal Plan 1,0,Room_Type 4,60,Online,0,0,0,130.9,0,12/23/2018,Canceled
INN00705,2,0,0,3,Not Selected,0,Room_Type 1,21,Online,0,0,0,116.1,0,10/4/2018,Canceled
INN00706,2,0,2,0,Not Selected,0,Room_Type 1,24,Online,0,0,0,71.69,1,9/11/2018,Not_Canceled
INN00707,1,1,2,3,Meal Plan 2,0,Room_Type 1,76,Offline,0,0,0,98.5,1,4/24/2018,Not_Canceled
INN00708,2,0,0,3,Not Selected,0,Room_Type 1,146,Online,0,0,0,94.5,1,7/13/2018,Not_Canceled
INN00709,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130,0,6/15/2018,Canceled
INN00710,2,0,2,1,Meal Plan 1,0,Room_Type 1,114,Online,0,0,0,76.5,0,7/11/2017,Canceled
INN00711,2,0,0,4,Meal Plan 1,0,Room_Type 1,256,Online,0,0,0,90.95,0,8/31/2018,Canceled
INN00712,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,Offline,0,0,0,72.75,0,10/8/2017,Not_Canceled
INN00713,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,93,0,11/16/2018,Not_Canceled
INN00714,2,0,0,2,Meal Plan 1,0,Room_Type 4,64,Online,0,0,0,168.3,1,9/16/2018,Not_Canceled
INN00715,2,0,0,3,Meal Plan 1,0,Room_Type 1,105,Offline,0,0,0,75,0,10/12/2018,Not_Canceled
INN00716,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,105,0,8/9/2017,Not_Canceled
INN00717,2,0,2,0,Not Selected,1,Room_Type 1,37,Online,0,0,0,78.5,1,2/14/2018,Not_Canceled
INN00718,2,0,2,5,Meal Plan 1,0,Room_Type 1,54,Online,0,0,0,119.7,0,7/2/2018,Canceled
INN00719,3,0,0,3,Meal Plan 1,0,Room_Type 4,81,Online,0,0,0,168.3,0,9/7/2018,Canceled
INN00720,3,0,0,1,Meal Plan 1,0,Room_Type 4,2,Online,0,0,0,197,1,5/27/2018,Not_Canceled
INN00721,2,0,2,0,Meal Plan 1,0,Room_Type 1,61,Offline,0,0,0,91,0,10/4/2017,Not_Canceled
INN00722,2,0,2,3,Meal Plan 1,0,Room_Type 1,11,Offline,0,0,0,85,0,2/13/2018,Not_Canceled
INN00723,2,0,2,2,Not Selected,0,Room_Type 1,4,Online,0,0,0,81,0,2/5/2018,Canceled
INN00724,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,Offline,0,0,0,116,0,9/4/2017,Not_Canceled
INN00725,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Online,0,0,0,115,1,8/18/2018,Canceled
INN00726,2,1,1,3,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,106,2,2/15/2018,Not_Canceled
INN00727,2,0,2,1,Meal Plan 1,0,Room_Type 4,62,Online,0,0,0,118.8,0,4/16/2018,Canceled
INN00728,2,0,0,3,Meal Plan 1,0,Room_Type 4,91,Online,0,0,0,132.3,2,10/20/2018,Canceled
INN00729,2,0,1,0,Meal Plan 1,1,Room_Type 4,123,Online,0,0,0,146.7,0,8/21/2018,Not_Canceled
INN00730,2,0,0,3,Meal Plan 1,0,Room_Type 4,13,Online,0,0,0,86.8,1,3/2/2018,Not_Canceled
INN00731,2,0,0,4,Meal Plan 2,0,Room_Type 1,152,Offline,0,0,0,98,0,11/1/2018,Not_Canceled
INN00732,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,100,1,5/2/2018,Not_Canceled
INN00733,2,2,4,10,Meal Plan 1,0,Room_Type 6,222,Online,0,0,0,158.95,0,8/14/2018,Canceled
INN00734,2,0,2,2,Meal Plan 1,0,Room_Type 4,47,Online,0,0,0,119.52,0,9/18/2018,Not_Canceled
INN00735,2,0,0,3,Meal Plan 2,0,Room_Type 1,88,Offline,0,0,0,117,1,5/3/2018,Not_Canceled
INN00736,2,0,0,3,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,140.67,0,4/27/2018,Canceled
INN00737,2,0,2,3,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,94.95,1,10/15/2017,Not_Canceled
INN00738,2,0,2,5,Not Selected,0,Room_Type 1,104,Online,0,0,0,109.65,0,5/11/2018,Canceled
INN00739,2,0,1,2,Not Selected,0,Room_Type 1,7,Online,0,0,0,120,0,12/30/2018,Not_Canceled
INN00740,2,0,1,2,Meal Plan 1,0,Room_Type 1,128,Online,0,0,0,67.22,0,3/18/2018,Not_Canceled
INN00741,1,0,0,3,Meal Plan 1,0,Room_Type 2,11,Offline,0,0,0,62,0,3/16/2018,Not_Canceled
INN00742,2,0,0,1,Not Selected,0,Room_Type 1,6,Online,0,0,0,91,0,3/4/2018,Not_Canceled
INN00743,2,0,2,4,Meal Plan 1,0,Room_Type 1,23,Offline,0,0,0,68,0,3/17/2018,Not_Canceled
INN00744,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Online,0,0,0,89,0,11/3/2018,Canceled
INN00745,2,0,2,1,Meal Plan 2,0,Room_Type 1,4,Offline,0,0,0,94.5,0,8/8/2017,Not_Canceled
INN00746,3,0,1,2,Meal Plan 1,0,Room_Type 4,25,Online,0,0,0,187,1,8/15/2018,Canceled
INN00747,3,0,0,4,Meal Plan 2,0,Room_Type 1,65,Offline,0,0,0,122.65,0,12/21/2018,Not_Canceled
INN00748,1,0,0,1,Meal Plan 1,0,Room_Type 1,21,Corporate,0,0,0,68,1,2/25/2018,Not_Canceled
INN00749,3,0,1,1,Meal Plan 1,0,Room_Type 4,45,Online,0,0,0,131.4,1,3/19/2018,Canceled
INN00750,2,0,2,3,Meal Plan 2,0,Room_Type 1,25,Online,0,0,0,149.4,0,4/15/2018,Canceled
INN00751,1,0,0,2,Meal Plan 1,0,Room_Type 1,5,Corporate,0,0,0,100,0,5/24/2018,Not_Canceled
INN00752,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,Online,0,0,0,115,1,6/6/2018,Canceled
INN00753,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,160,2,10/20/2018,Not_Canceled
INN00754,2,1,2,1,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,127.67,2,4/16/2018,Not_Canceled
INN00755,2,0,0,3,Not Selected,0,Room_Type 1,52,Online,0,0,0,79.2,2,12/7/2018,Not_Canceled
INN00756,2,0,0,2,Meal Plan 1,0,Room_Type 1,18,Online,0,0,0,69,2,12/1/2017,Not_Canceled
INN00757,2,0,0,4,Meal Plan 2,0,Room_Type 1,296,Online,0,0,0,117,1,9/21/2018,Canceled
INN00758,2,0,1,1,Meal Plan 1,0,Room_Type 1,174,Online,0,0,0,70,0,10/10/2017,Canceled
INN00759,3,0,0,3,Meal Plan 1,0,Room_Type 4,31,Online,0,0,0,114.3,2,3/8/2018,Not_Canceled
INN00760,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Online,0,0,0,110,0,11/1/2018,Canceled
INN00761,1,2,0,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,181.8,1,9/1/2018,Not_Canceled
INN00762,2,0,2,2,Not Selected,0,Room_Type 1,68,Online,0,0,0,75.65,1,4/1/2018,Canceled
INN00763,2,0,2,3,Meal Plan 1,0,Room_Type 1,194,Online,0,0,0,77.23,2,4/17/2018,Not_Canceled
INN00764,2,0,2,1,Meal Plan 1,0,Room_Type 1,145,Offline,0,0,0,65,0,1/3/2018,Not_Canceled
INN00765,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,Online,0,0,0,115,0,7/21/2018,Canceled
INN00766,2,0,1,1,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,118.8,0,9/7/2017,Canceled
INN00767,2,0,0,4,Meal Plan 1,0,Room_Type 4,24,Online,0,0,0,127.48,1,5/31/2018,Not_Canceled
INN00768,2,0,1,2,Meal Plan 1,0,Room_Type 4,124,Online,0,0,0,114.3,0,5/6/2018,Not_Canceled
INN00769,2,0,2,2,Meal Plan 1,0,Room_Type 4,44,Offline,0,0,0,87.2,0,12/3/2018,Not_Canceled
INN00770,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,Online,0,0,0,101.5,0,7/1/2017,Canceled
INN00771,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,Offline,0,0,0,100,0,10/2/2017,Not_Canceled
INN00772,2,0,0,4,Not Selected,0,Room_Type 1,153,Online,0,0,0,91.38,1,7/27/2018,Not_Canceled
INN00773,2,1,3,9,Meal Plan 1,0,Room_Type 1,155,Online,0,0,0,119.71,1,8/1/2018,Canceled
INN00774,2,0,0,1,Not Selected,0,Room_Type 1,0,Online,0,0,0,119,0,6/2/2018,Not_Canceled
INN00775,2,0,0,1,Not Selected,0,Room_Type 1,29,Online,0,0,0,139,1,7/28/2018,Not_Canceled
INN00776,2,0,1,3,Meal Plan 1,0,Room_Type 1,59,Online,0,0,0,109.8,1,8/29/2018,Not_Canceled
